X,Y,OBJECTID,TYPE,SCHOOL,ADDRESS,SE_ANNO_CAD_DATA,NAME,GRADE,CITY,ZIP,PHONE,WEBSITE,XCOORD,YCOORD,SITE_USE,PRJ_ENRLLMNT
-122.353265218351,47.6320227473142,1,NonStandard,QUEEN ANNE GYM,1431 2nd Ave N,,Queen Anne Gym,9-12,Seattle,98109,,,1265680.67393531,234243.29115322,Active,
-122.315104889303,47.5854692048734,2,Elementary,BEACON HILL ELEM,2025 14th Ave. S,,Beacon Hill Int'l,K-5,Seattle,98144,(206) 252-2700,http://beaconhilles.seattleschools.org/,1274760.89986931,217081.83991188,Active,
-122.362140942013,47.548619534317,3,Option Elementary,BOREN BLDG,5950 Delridge Way SW,,Louisa Boren STEM,K-8,Seattle,98106,(206)252-8450,http://borenstemk8.seattleschools.org/,1262888.33995307,203870.05990505,Active,
-122.324690584151,47.5236109016965,4,Elementary,CONCORD ELEM,723 S Concord St.,,Concord Int'l,K-5,Seattle,98108,(206) 252-8100,http://concordes.seattleschools.org/,1271958.49996232,194568.02995272,Active,
-122.313911912494,47.5523720616429,5,Option High School,CLEVELAND HIGH SCHOOL,5511 15th Ave S,,Cleveland STEM,9-12,Seattle,98108,(206)252-7800,http://clevelandhs.seattleschools.org/,1274823.0001388,205005.7298778,Active,
-122.294530733278,47.7076286083192,6,High School,NATHAN HALE HIGH SCHOOL,10750 30th Ave NE,,Nathan Hale,9-12,Seattle,98125,(206)252-3680,http://halehs.seattleschools.org/,1280683.36997972,261536.27987422,Active,
-122.37492741813,47.532837659185,7,Elementary,HUGHES,7740 34th Ave SW,,Roxhill at E.C. Hughes,K-5,Seattle,98126,(206)252-9570,http://roxhilles.seattleschools.org/,1259615.91998872,198177.52995156,Interim,
-122.306755454102,47.7236861632851,8,Elementary,OLYMPIC HILLS ELEM,13018 20th Ave NE,,Olympic Hills,K-5,Seattle,98125,(206)413-2200,http://olympichillses.seattleschools.org/,1277786.25996031,267449.85006805,Active,
-122.30301448863,47.5740452547512,9,Elementary,KIMBALL ELEM,3200 23rd Ave S,,Kimball,K-5,Seattle,98144,(206)252-7280,http://kimballes.seattleschools.org/,1277664.50003323,212858.32998622,Active,
-122.281980381889,47.5463218607496,10,Middle School,AKI KUROSE,3928 S Graham St,,Aki Kurose,6-8,Seattle,98118,(206)252-7700,http://kurosems.seattleschools.org/,1282665.24987422,202649.16011588,Active,
-122.399262430612,47.6422573572223,11,Elementary,CATHARINE BLAINE,2550 34th Ave W,,Catharine Blaine K-8,K-8,Seattle,98199,(206)252-1920,http://blainek8.seattleschools.org/,1254417.66004406,238203.11984772,Active,
-122.351716580059,47.6328984835771,12,Elementary,HAY ELEM,201 Garfield St,,Hay,K-5,Seattle,98109,(206)252-2100,http://hayes.seattleschools.org/,1266068.74008831,234555.13009647,Active,
-122.296286979879,47.552262359087,13,Elementary,DEARBORN PARK ELEM,2820 S Orcas St,,Dearborn Park Int'l,K-5,Seattle,98108,(206)252-6930,http://dearbornes.seattleschools.org/,1279173.76998056,204882.4899668,Active,
-122.282661709707,47.6850254538827,14,Elementary,DECATUR BLDG/DS-2,7711 43rd Ave NE,,Decatur,1-5,Seattle,98115,(206)252-3230,https://decatures.seattleschools.org/,1283449.80014239,253237.61700964,Active,
-122.358658082288,47.5396083901533,15,Elementary,SANISLO ELEM,1812 SW Myrtle St,,Sanislo,K-5,Seattle,98106,(206)252-8380,http://sanisloes.seattleschools.org/,1263683.15004322,200566.68987139,Active,
-122.336838126079,47.7256993928156,16,High School,INGRAHAM HIGH SCHOOL,1819 N 135th St,,Ingraham Int'l,9-12,Seattle,98133,(206)252-3880,http://ingrahamhs.seattleschools.org/,1270397.75997356,268327.26990113,Active,
-122.373075379303,47.6835898231268,17,Elementary,WHITTIER ELEM,1320 NW 75th St,,Whittier,K-5,Seattle,98117,(206)252-1650,http://whittieres.seattleschools.org/,1261173.49003631,253146.52007897,Active,
-122.33719635133,47.6951782821249,19,Option Elementary,WILSON-PACIFIC,1700 N 90th St,,Cascadia,K-5,Seattle,98103,(206)252-5914,http://cascadiaes.seattleschools.org/,1270067.62513514,257142.21878047,Active,
-122.284633730395,47.7074264343747,20,Elementary,JOHN ROGERS ELEM,4030 NE 109th St,,John Rogers,K-5,Seattle,98125,(206)252-4320,http://rogerses.seattleschools.org/,1283118.24010998,261416.4398908,Active,
-122.390474520374,47.6567124051122,21,Elementary,LAWTON ELEM,4000 27th Ave W,,Lawton,K-5,Seattle,98199,(206)252-2130,http://lawtones.seattleschools.org/,1256690.24998707,243430.78983855,Active,
-122.284300193084,47.6856554567238,22,Option Elementary,New Bldg,7712 40th Ave NE,,Thornton Creek,K-5,Seattle,98115,(206)252-5300,http://thorntoncreekes.seattleschools.org/,1283050.62508772,253474.98431705,Active,
-122.268534249036,47.545757309958,23,Elementary,GRAHAM HILL ELEM,5149 S Graham St,,Graham Hill,K-5,Seattle,98118,(206)252-7140,http://grahamhilles.seattleschools.org/,1285981.6198819,202381.0500878,Active,
-122.338027536628,47.6570800302645,24,Middle School,HAMILTON MIDDLE SCHOOL,1610 N 41st St,,Hamilton Int'l,6-8,Seattle,98103,(206)252-5810,http://hamiltonms.seattleschools.org/,1269615.71002847,243307.75005838,Active,
-122.387035500262,47.6949745107198,25,Elementary,NORTH BEACH ELEM,9018 24th Ave NW,,North Beach,K-5,Seattle,98117,(206)252-1510,http://northbeaches.seattleschools.org/,1257819.37010415,257367.53000963,Active,
-122.348277286993,47.5251774942709,26,Elementary,HIGHLAND PARK ELEM,1012 SW Trenton St,,Highland Park,K-5,Seattle,98106,(206)252-8240,http://highlandparkes.seattleschools.org/,1266143.11001831,195253.18015721,Active,
-122.380512075997,47.676297410712,27,Option Elementary,MONROE BLDG,1810 NW 65th St,,Salmon Bay K-8,K-8,Seattle,98117,(206)252-1720,http://salmonbayk8.seattleschools.org/,1259288.58009222,250523.77007513,Active,
-122.290579862136,47.5732413473041,28,Elementary,JOHN MUIR ELEM,3301 S Horton St,,John Muir,K-5,Seattle,98144,(206)252-7400,http://muires.seattleschools.org/,1280727.73996973,212506.7798363,Active,
-122.370558043204,47.5180529159754,30,Service School,ROXHILL ELEM,9430 30th Ave SW,,BRIDGES,,Seattle,98126,(206)252-9330,https://www.seattleschools.org/cms/One.aspx?portalId=627&pageId=2581181,1260587.37014556,192764.06013547,Active,
-122.274655654791,47.5249891889943,31,Elementary,DUNLAP ELEM,4525 S Cloverdale St,,Dunlap,K-5,Seattle,98118,(206)252-7000,http://dunlapes.seattleschools.org/,1284328.1901179,194835.15015338,Active,
-122.312809534298,47.6772313932554,32,High School,ROOSEVELT HIGH SCHOOL,1410 NE 66th St,,Roosevelt,9-12,Seattle,98115,(206)252-4810,http://roosevelths.seattleschools.org/,1275970.69994314,250536.4301548,Active,
-122.365599108119,47.6405159867018,33,Elementary,COE ELEM,2424 7th Ave W,,Coe,K-5,Seattle,98119,(206)252-2000,http://coees.seattleschools.org/,1262701.86001106,237401.02007397,Active,
-122.396888540608,47.5654925686331,34,Elementary,GENESEE HILL BLDG,5013 SW Dakota St,,Genesee Hill,K-5,Seattle,98116,(206)252-9700,http://geneseehilles.seattleschools.org/,1254433.86998539,210195.87993056,Active,
-122.28746672302,47.7260577896735,35,Option Elementary,CEDAR PARK BLDG,3737 NE 135th St,,Cedar Park,K-5,Seattle,98125,(206)252-4300,http://cedarparkes.seattleschools.org/,1282531.86792314,268135.87592697,Active,
-122.384590967813,47.5767796823178,36,High School,WEST SEATTLE HIGH SCHOOL,3000 California Ave SW,,West Seattle High,9-12,Seattle,98116,(206)252-8800,http://westseattlehs.seattleschools.org/,1257552.24990347,214250.75010164,Active,
-122.391519601725,47.6736321449469,37,Elementary,ADAMS ELEM,6110 28th Ave NW,,Adams,K-5,Seattle,98107,(206)252-1300,http://adamses.seattleschools.org/,1256557.70005532,249606.47991496,Active,
-122.38019123288,47.5525732013519,38,Elementary,FAIRMOUNT PARK ELEM,3800 SW Findlay St,,Fairmount Park,K-5,Seattle,98126,(206)252-9300,http://fairmountparkes.seattleschools.org/,1258460.52991106,205401.00008464,Active,
-122.29591302938,47.5380908250708,40,Elementary,VAN ASSELT ELEM,7201 Beacon Ave S,,Wing Luke,K-5,Seattle,98108,(206)252-7630,http://lukees.seattleschools.org/,1279167.85988739,199712.3900708,Interim,
